dataset,horizon,model,corruption,corruption_seed,mse,mae,rmse,clean_mse,relative_degradation_pct
ETTh1,720,ARRidge,tail_missing_12,43,0.15831083809596996,0.3253389599077442,0.3978829452187791,0.15445524568591404,2.496252162193513
ETTh1,720,PatchTST-M_s2026,tail_missing_12,43,0.10163984447717667,0.25151076912879944,0.31881004571914673,0.09192296862602234,10.570672375351897
ETTh1,720,PatchTST-M_s2027,tail_missing_12,43,0.0985790565609932,0.24799005687236786,0.31397300958633423,0.09038527309894562,9.065396586319729
ETTh1,720,PatchTST-M_s2028,tail_missing_12,43,0.09702583402395248,0.24526435136795044,0.31148970127105713,0.08919665217399597,8.777439129311858
ETTh1,720,Last,spikes_0.02,31,0.3247201144695282,0.3430441617965698,0.5698421597480774,0.1291794776916504,151.37128611452556
ETTh1,720,ARRidge,spikes_0.02,31,0.16543967094354803,0.3303121412621251,0.4067427577026394,0.15445524568591404,7.111720426751256
ETTh1,720,PatchTST-M_s2026,spikes_0.02,31,0.19808371365070343,0.34240666031837463,0.445065975189209,0.09192296862602234,115.48881265637041
ETTh1,720,PatchTST-M_s2027,spikes_0.02,31,0.17917320132255554,0.32611075043678284,0.4232885539531708,0.09038527309894562,98.23273767886162
ETTh1,720,PatchTST-M_s2028,spikes_0.02,31,0.19198252260684967,0.335210919380188,0.4381580948829651,0.08919665217399597,115.23512141728057
ETTh1,720,Last,spikes_0.02,37,0.29610589146614075,0.3346271514892578,0.5441561341285706,0.1291794776916504,129.22053623172357
ETTh1,720,ARRidge,spikes_0.02,37,0.1647663704475509,0.32997338769955,0.40591424026209144,0.15445524568591404,6.675800951820454
ETTh1,720,PatchTST-M_s2026,spikes_0.02,37,0.19422568380832672,0.33966949582099915,0.4407104253768921,0.09192296862602234,111.29178779953332
ETTh1,720,PatchTST-M_s2027,spikes_0.02,37,0.18017679452896118,0.3265221416950226,0.4244723618030548,0.09038527309894562,99.34308804015
ETTh1,720,PatchTST-M_s2028,spikes_0.02,37,0.19463442265987396,0.33745771646499634,0.4411739110946655,0.08919665217399597,118.20821512471169
ETTh1,720,Last,spikes_0.02,43,0.2831818163394928,0.32994571328163147,0.5321483016014099,0.1291794776916504,119.21579294154125
ETTh1,720,ARRidge,spikes_0.02,43,0.16437947088076313,0.32945882329327675,0.405437382194542,0.15445524568591404,6.4253079594525975
ETTh1,720,PatchTST-M_s2026,spikes_0.02,43,0.1975790113210678,0.3414691686630249,0.44449859857559204,0.09192296862602234,114.93976345008451
ETTh1,720,PatchTST-M_s2027,spikes_0.02,43,0.18175679445266724,0.3264119625091553,0.42632943391799927,0.09038527309894562,101.09116034168126
